ID,RA_ICRS,DE_ICRS,Source,e_RA_ICRS,e_DE_ICRS,Plx,e_Plx,PM,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,GRVSmag,e_GRVSmag,RV,logg,[Fe/H],Dist,PQSO,PGal,Pstar,PWD,Pbin,Teff,A0,AG,ABP,ARP,E(BP-RP),GMAG,Rad,Rad-Flame,Lum-Flame,Mass-Flame,Age-Flame,z-Flame,Evol,SpType-ELS,Flags-HS,EWHa,e_EWHa,f_EWHa
92994,51.90359777512,43.80721742447,241200832158268800,0.011,0.0084,1.9688,0.0163,14.219,3.218,0.016,-13.85,0.011,1.025,13.146628,0.00276,13.549009,0.002865,12.569037,0.0038009999999999,12.303216,0.029718,-0.75,4.275,-0.4619,502.446,0.0,0.0,0.99990195,0.0,9.808e-05,5511.812,0.2966,0.2445,0.309,0.1772,0.1318,4.3871,1.2597,1.225,1.3465166000000002,0.927,13.247,0.5630474,401.0,G      ,94,0.16295,0.0153099999999999,0
92711,68.20312405809,40.35373445524,179829078094632320,0.0312,0.0249,1.2518,0.0397,1.31,-0.28,0.044,-1.28,0.035,2.158,13.98528,0.002783,14.429317,0.002908,13.338131,0.00382,13.056445,0.056177,-9.16,4.2676,-0.4758,746.2322,0.0,0.0,0.9999836,0.0,1.637e-05,6464.2944,1.1306,0.946,1.1921,0.6761,0.5159,3.6626,1.2724,1.3135,2.7374108,1.259,1.622,0.55260116,189.0,F      ,91,0.22614,0.02509,0
99194,100.24469577604,2.33711338415,3126842809758667520,0.0248,0.0246,1.2267,0.0297,0.997,0.631,0.026,-0.7709999999999999,0.024,1.426,11.406617,0.002852,11.548601,0.002924,11.161975,0.003827,11.028201,0.097287,20.09,3.8319,-0.1541,1002.1455,0.0,0.0,0.9998946,0.0,0.00010536,7914.255999999999,0.335,0.3068,0.368,0.2044,0.1636,1.0852,2.7805,2.1812,16.736753,1.872,0.8690000000000001,0.43831512,226.0,A      ,1,0.40764,0.023,0
59559,83.09113141106,36.24741605487,183410393624639232,0.246,0.176,0.9083,0.2738,1.747,-0.1009999999999999,0.315,-1.744,0.218,15.924,13.072179,0.00322,13.455308,0.002907,12.452629,0.0038179999999999,12.155255,0.033605,-27.55,4.5958,-0.5922,298.5942,0.0,0.0,0.99992824,0.0,7.175e-05,5806.0303,0.4866,0.4032,0.509,0.291,0.218,5.2647,0.7523,2.8426,6.299601999999999,1.225,5.25,0.63636976,474.0,G      ,93,0.01145,0.03035,0
77305,99.48133271969,-27.02394297266,2919809378749668736,0.0091,0.0118,2.4253,0.0138,7.141,-4.824,0.012,-5.265,0.0139999999999999,1.012,10.460814,0.002768,10.603848,0.002843,10.203096,0.003795,10.098423,0.024685,12.09,4.0662,-0.3001,417.4984,0.0,0.0,0.99862033,0.0,0.00137967,7364.7607,0.0936,0.0847,0.1023,0.057,0.0453,2.2826,1.8478,1.8306,8.883137,1.624,1.104,0.50410014,208.0,A      ,93,0.3518699999999999,0.01072,0
78651,111.28137608644,-19.15425154927,2930589162553811200,0.0077,0.0089,0.7257,0.0119,2.754,-2.702,0.011,0.532,0.011,1.075,13.071071,0.002779,13.267382,0.00295,12.740862,0.003825,12.624515,0.044436,51.44,3.9584,-0.4704,1432.6877,0.0,0.0,0.9998669,0.0,0.00013309,7534.371999999999,0.4536,0.4078,0.4945,0.2755,0.2189,1.8918,2.1238,1.9551,11.246532,1.712,1.022,0.4698494000000001,213.0,A      ,91,0.3603699999999999,0.01735,0
38286,8.83285830091,63.39176014304,430832193855887872,0.0121,0.0137,0.2934,0.0166,1.531,-1.402,0.016,-0.615,0.019,1.035,14.611301,0.002764,14.920185,0.002955,14.12525,0.003892,,,,3.6493,-0.2764,4887.942,0.0,0.0,0.9999914,0.0,8.63e-06,10029.821,1.7317,1.5699,1.8988,1.0497,0.8490000000000001,-0.4047,3.9977,2.5946,64.2494,2.613,0.33,0.4285764,223.0,B      ,93,0.37225,0.02708,0
35836,293.81136790666,22.60960303869,2018679232382179712,0.0431,0.0549,0.1049,0.0796,5.183,-1.92,0.065,-4.814,0.078,1.004,16.020878,0.003207,19.933546,0.033507,14.447748,0.005664,13.77909,0.1340329999999999,-71.85,0.6516,0.0805,4243.3345,0.0,0.0,1.0,0.0,0.0,3567.2014,8.9732,5.0756,7.88,4.6147,3.2655,-2.1509,102.0712,110.7357,1917.9418,1.924,1.342,0.01031932,1172.0,M      ,91,-0.25249,0.2055,1
10558,76.03268148782,40.05589760128,200546011762447744,0.0375,0.0232,0.1774,0.0413,0.745,0.1889999999999999,0.049,-0.72,0.037,1.0590000000000002,15.803228,0.00278,16.092613,0.003781,15.338814,0.004685,,,,4.1508,-1.4741,3945.244,0.0,0.0,0.9999938,0.0,6.18e-06,10267.688,1.6347,1.4858,1.7937,0.9925,0.8012,1.3309,1.7852,1.7977,32.340595,2.346,,0.596363,128.0,B      ,94,0.48294,0.0546799999999999,0
44460,307.28322176334,45.39675933507999,2070973345403177600,0.038,0.0444,0.049,0.0481,3.432,-1.435,0.051,-3.1180000000000003,0.059,1.196,15.761698,0.003423,17.97805,0.061345,14.270855,0.0096239999999999,13.557974,0.078343,-39.9,2.0517,-0.6244,1686.5641,0.0,0.0,1.0,0.0,0.0,4677.965999999999,8.0149,5.1529,7.3318,4.388,2.9434,-0.5235,18.2135,18.9608,148.62691999999998,3.301,0.293,0.04536296,522.0,M      ,95,-0.28956,0.36818,1
68380,37.57889961967,63.28926762214001,514111987683873152,0.0094,0.0151,0.2604,0.0217,1.3869999999999998,-1.112,0.012,-0.8290000000000001,0.022,1.284,11.07842,0.002762,11.298277,0.0028079999999999,10.689719,0.003785,,,,3.6119,0.0786,3008.496,0.00490966,0.0,5.45e-05,0.9950353,5.4e-07,18745.941000000003,1.82,1.7116,2.048,1.1157,0.9325,-3.0104,7.3644,,,,,,,B      ,999,0.12572,0.0062,0
47636,45.81425277145001,29.26623182101,122815586261671424,0.0228,0.0199,0.7571,0.0253,10.586,3.651,0.027,-9.937,0.025,1.082,14.582772,0.0027719999999999,15.015127,0.00332,13.974494,0.003909,13.655293,0.124627,-9.17,4.1311,-1.0526,1122.1705,0.0,0.0,0.9999822,0.0,1.7800000000000002e-05,5644.4824,0.5505,0.4542,0.5764,0.3282,0.2482,3.8755,1.5377,1.7165,2.692161,1.061,8.783999999999999,0.48407823,454.0,F      ,92,0.14167,0.03914,0
17303,95.44281639123,78.33455362164001,1140959234710555136,0.0624,0.0708,5.2488,0.0853,81.92,28.957,0.077,-76.631,0.0819999999999999,3.221,15.414701,0.002862,16.671385,0.0052759999999999,14.290929,0.0039299999999999,13.685007999999998,0.106053,-22.83,4.7236,0.0647,169.9323,0.0,0.0,0.99648726,0.0,0.00351277,3659.789,0.7347,0.4928,0.7079,0.4087,0.2991,8.7415,0.5315,0.5954,0.05734724,0.556,11.775,0.65203327,181.0,M      ,93,0.08449,0.04344,1
4791,50.60032122254,12.058076406230002,17451723433969408,0.0165,0.0131,3.989,0.0179,8.206,-7.364,0.022,-3.621,0.017,1.1909999999999998,12.072155,0.002785,12.638217,0.003015,11.348706,0.003856,11.052691,0.021543,3.37,4.1401,-0.6228,249.993,0.0,0.0,0.99998385,0.0,1.611e-05,5983.0117,1.3313,1.083,1.3832,0.7907,0.5925,3.9984,1.2748,1.2769,1.8783537,1.087,5.789,0.40839,338.0,F      ,92,0.19991,0.01568,0
18899,230.20733092982,35.31403164785,1290996804729847936,0.0136,0.0178,5.957999999999999,0.0207,53.885,-20.33,0.017,49.902,0.024,1.038,14.993932999999998,0.002777,16.10693,0.003436,13.948141,0.0039549999999999,13.413238,0.071237,-79.13,4.7208,0.0024,165.8922,0.0,0.0,0.99861324,0.0,0.00138677,3795.2993,0.6675,0.4601,0.6416,0.3768,0.2648,8.4326,0.5424,0.5512,0.056675114,0.557,13.091,0.66530555,184.0,M      ,91,-0.15366,0.03538,1
47962,75.89238316998001,30.004333418690003,156687966103185664,0.0274,0.0125,0.1405,0.0246,1.832,-0.544,0.035,-1.749,0.021,0.953,14.619216,0.002764,15.40456,0.003198,13.744108,0.003824,13.348361,0.053449,-3.25,3.0231,-0.3366,3684.3042,0.0,0.0,0.9999947,0.0,5.32e-06,5973.448,2.1915,1.7207,2.2281,1.2906,0.9375,0.0802,7.9072,12.0636,130.79866,2.977,0.3779999999999999,0.24046539,576.0,G      ,95,0.1074099999999999,0.02494,0
52865,35.43683479935,30.26762868771,131975862446630784,0.019,0.0176,1.5495,0.0228,14.687,14.67,0.024,0.716,0.021,1.178,14.10434,0.002767,14.47591,0.003175,13.558367,0.003849,13.374099,0.068302,30.0,4.4447,-0.3424,594.8372,0.0,0.0,0.9999547,0.0,4.532e-05,5676.401999999999,0.2493,0.2074,0.261,0.1493,0.1117,5.0164,0.8829,0.934,0.8107863000000001,0.985,3.1260000000000003,0.57069796,203.0,F      ,94,0.11724,0.03108,0
43691,42.38154205119,53.19422681445,452872900864494464,0.0087,0.012,0.4246,0.0142,1.567,0.419,0.012,-1.51,0.018,1.01,12.329922,0.002811,12.488933,0.0032689999999999,12.043398,0.004007,,,,4.1626,0.1032,2348.0032,0.0,0.0,0.9999874,7e-07,1.187e-05,16837.193,1.3905,1.3211,1.5699,0.8547,0.7152,-0.9117,3.1014,2.943,625.71326,5.041,,1.0574296,152.0,B      ,1,0.21225,0.0164,0
1077,47.58171600885,5.96899336017,4271125933136384,0.0165,0.0158,1.8081,0.0208,17.549,2.395,0.022,-17.385,0.02,0.945,13.748195999999998,0.002764,14.262044,0.003083,13.071339,0.0038689999999999,12.830903,0.05517,1.77,4.2531,-0.128,529.8777,0.0,0.0,0.9999309,0.0,6.912e-05,5710.316999999999,0.9103,0.7394,0.9405,0.5419,0.3986,4.3812,1.1603,1.1848,1.3442091,0.957,10.779000000000002,0.48304775,359.0,G      ,95,0.0603299999999999,0.02723,0
1417,69.08868583014,26.89428030232,151549643322031104,0.0253,0.0141,1.0784,0.0298,3.136,0.961,0.035,-2.986,0.024,0.978,14.504314,0.002769,15.305561,0.003176,13.615732,0.003864,13.148391,0.090331,-30.94,4.1237,-0.6035,894.6506,0.0,0.0,0.9999949,0.0,5.12e-06,8238.24,3.3591,2.7651,3.5064,1.9907,1.5159,1.9774,1.7441,1.7438,12.713838,1.807,0.5489999999999999,0.5592193,171.0,A      ,93,0.48735,0.03693,0
56265,66.68169474324,35.76263907303,176430526307374080,0.0196,0.0137,1.9238,0.0236,16.995,3.375,0.03,-16.657,0.022,1.229,13.895151,0.002764,14.649521,0.002984,13.039235,0.003859,12.646543,0.0432899999999999,-55.03,4.1527,-0.9769,497.414,0.0,0.0,0.9999902,0.0,9.75e-06,5550.39,1.819,1.421,1.8484,1.0696,0.7788,3.9752,1.4816,1.5243,2.115839,1.254,2.102,0.4914622,215.0,G      ,95,0.08519,0.0256399999999999,0
17168,143.58802364877,76.71074316578,1130728004135871616,0.0202,0.0217,4.9945,0.0256,16.618,-12.214,0.027,-11.268,0.031,1.019,15.332375,0.00279,16.425156,0.004495,14.294964000000002,0.003896,13.753259,0.068191,-49.19,4.6371,-0.3772,202.6626,0.0,0.0,0.99296397,0.0,0.00703605,3754.2688,0.6012,0.4155,0.5782,0.3396,0.2385,8.3552,0.5648,0.5475,0.05389375,0.55,12.961,0.5774461999999999,156.0,M      ,92,-0.0146,0.04356,1
92720,120.63785175852,-0.6011623436399999,3083221030252381440,0.0126,0.0094,0.5272,0.018,5.442,-4.308,0.0139999999999999,3.325,0.012,0.919,12.125116,0.002764,12.261872,0.002837,11.886279,0.003806,11.770074,0.017034,65.31,3.6624,0.2908,1910.7756,0.0,0.0,0.9999341,0.0,6.59e-05,7778.6875,0.2754,0.252,0.3021,0.1681,0.134,0.46,3.765,3.5011,39.652336,2.237,0.7509999999999999,0.38650796,281.0,A      ,91,0.39496,0.01627,0
59688,79.75862001244,35.08338794227,183620056746350080,0.0176,0.0127,1.4975,0.0201,13.344,7.111000000000001,0.021,-11.291,0.016,0.925,14.085845,0.002767,14.533845,0.003032,13.468659,0.003867,13.228364,0.053859,-3.7,4.3226,-0.1796,625.4594,0.0,0.0,0.9999503,0.0,4.976e-05,5706.3403,0.611,0.5018,0.6349,0.3647,0.2702,4.5962,1.054,1.0987,1.151638,0.957,9.474,0.51497716,310.0,G      ,95,0.12162,0.02866,0
59118,311.52230435747003,38.63132395134,2063387127499426176,0.0081,0.0099,1.521,0.0113,6.767,5.729,0.011,-3.602,0.012,0.895,11.853105,0.002763,12.03354,0.002842,11.542876,0.003795,11.397734,0.025571,-15.51,4.1454,-0.4727,637.9301,0.0,0.0,0.99984413,0.0,0.00015588,7376.248,0.2839,0.255,0.3095,0.1725,0.1369999999999999,2.5855,1.6132,1.6259,7.050770299999999,1.561,0.892,0.5286834,178.0,A      ,95,0.33589,0.0120299999999999,0
97091,76.58866443017,34.04538730584,184819971828702976,0.0178,0.0093,1.6723,0.0214,19.108,8.498,0.027,-17.115,0.019,0.999,14.151436,0.00276,14.747939,0.002935,13.408565,0.003807,13.123825,0.069151,-0.46,4.2382,-0.2385,574.1676,0.0,0.0,0.9999598,0.0,4.015e-05,5781.9644,1.2422,0.9949,1.2734,0.737,0.5364,4.3148,1.1681,1.1664,1.3712744,0.99,8.749,0.45678315,352.0,K      ,94,0.0525399999999999,0.02139,0
29852,37.80429566835,13.75480312915,74951719096264448,0.0136,0.0136,1.5719999999999998,0.0159,17.855,16.49,0.019,-6.848,0.019,1.063,12.781312,0.002773,13.15179,0.002887,12.239011,0.003813,12.06068,0.044636,-6.6,3.9956,-0.204,615.8372,0.0,0.0,0.999938,0.0,6.194e-05,5796.858,0.3277,0.2736,0.3436,0.1963,0.1473,3.5585,1.65,1.6887,2.8076065,1.08,8.101,0.36503154,443.0,F      ,999,0.12617,0.0206599999999999,0
33782,11.0842962163,60.27961619001,427035992524025984,0.0638,0.0776,0.4497,0.0985,1.597,-0.741,0.0819999999999999,-1.415,0.108,7.072,10.022687,0.002766,10.191319,0.002837,9.695271,0.003788,,,,3.5371,0.2182,2326.3147,0.0,0.0,0.99999785,2.14e-06,0.0,19437.227,1.6011,1.5233,1.8135,0.9842,0.8292,-3.3978,8.4908,,,,,,,B      ,1,0.1022,0.01174,0
9109,57.7926227523,15.40781297265,39948216672004352,0.0206,0.0126,0.7336,0.0221,3.529,-2.904,0.027,-2.005,0.016,1.055,14.400691,0.002762,15.044073999999998,0.003146,13.623132,0.003838,13.275981,0.052417,-10.84,3.7067,-0.2932,1221.806,0.0,0.0,0.9999868,0.0,1.317e-05,5497.8623,1.2745,1.0059,1.2956,0.7534,0.5411,2.9336,2.4749,2.7101,5.370915,1.381,3.498,0.5202889,483.0,K      ,93,0.00682,0.02422,0
38137,303.8435640393,23.60125235059,1830585911342299008,0.0089,0.0085,1.3196,0.0135,6.115,-0.341,0.01,-6.106,0.011,0.993,12.087135,0.00276,12.253858,0.00283,11.801412,0.003793,11.671875,0.01013,-9.55,4.1394,-0.3691,779.7611,0.0,0.0,0.9998153,0.0,0.00018468,7499.3125,0.2633,0.2377,0.2876,0.1602,0.1274,2.4013,1.6962,1.6293,7.574625500000001,1.592,0.802,0.5530301999999999,174.0,A      ,2,0.37684,0.0117,0
19824,59.79535244828,25.08235590304,66280386286378240,0.0202,0.0102,0.1875,0.0201,1.167,0.652,0.024,-0.968,0.013,1.007,13.810735,0.002759,14.422655,0.002951,13.061313,0.003819,12.739646,0.037075,26.18,2.8314,-0.1923,3708.5415,0.0,0.0,0.999994,0.0,6.04e-06,5140.981,0.8738,0.6862,0.8827,0.5166,0.3661,0.288,9.7647,11.4161,81.55885,2.898,0.414,0.15370017,541.0,K      ,93,0.02137,0.0211699999999999,0
68246,90.7988725417,22.50451173467,3423715179800655744,0.0286,0.0248,0.2256,0.0333,2.247,1.145,0.035,-1.933,0.026,1.057,15.23748,0.00279,16.287249,0.00498,14.224132,0.003964,13.485413,0.120018,7.68,2.8649,-0.0036,4563.340999999999,0.0,0.0,0.9999989,0.0,1.1e-06,6090.8276,3.2547,2.4696,3.2439,1.8983,1.3455,-0.5769,10.18,9.6424,115.8061,3.069,0.346,0.16397172,465.0,M      ,95,0.21473,0.0466699999999999,0
30692,105.42020205832,38.361567966070005,947014866858152192,0.0184,0.0169,1.2833,0.0216,14.742,1.138,0.021,-14.698,0.019,1.117,10.786432,0.002777,10.829398,0.0029,10.692421,0.003838,10.633613,0.019877,-37.3,3.9235,-0.6364,859.8524,0.0,0.0,0.99994427,1e-08,5.578e-05,9084.775,0.1977,0.1877,0.2212,0.1214,0.0999,0.9119,2.4576,2.216,30.157146,2.187,0.484,0.48274067,209.0,A      ,1,0.5162399999999999,0.0208,0
77171,87.60737926450001,-23.23555019004,2915756029134434304,0.0098,0.0139999999999999,3.1836,0.0173,8.265,-5.944,0.013,5.742999999999999,0.019,1.179,9.180918,0.0027649999999999,9.288941,0.002874,8.967238,0.003803,8.864469,0.006581,8.76,3.8206,-0.7771,324.8633,0.0,0.0,1e-06,0.0,0.999999,7477.5776,0.0021,0.0019,0.0023,0.0013,0.001,1.6119,2.462,2.3599,15.69185,1.819,1.081,0.3766959,245.0,A      ,1,0.38292,0.01149,0
71075,193.69125157696,-7.586517249730001,3627612498704604928,0.0273,0.0187,5.151,0.0326,93.05,79.811,0.038,-47.837,0.026,0.974,14.821872,0.00279,15.825986,0.004175,13.823247,0.004167,13.365303,0.072591,13.73,4.7495,-1.6274,184.6725,0.0,0.0,0.99296397,0.0,0.00703605,5114.9490000000005,2.4418,1.8248,2.4243,1.4177,1.0065,6.6601,0.5311,0.5826,0.08837466,0.632,2.807,0.64499277,136.0,M      ,93,-0.03288,0.03931,1
11726,61.87536726826,19.01341140925,47259213081633664,0.0322,0.0216,0.3073,0.035,4.355,-2.658,0.0409999999999999,-3.45,0.03,2.441,13.392582,0.00277,14.123874,0.0031,12.550866,0.003812,12.147893,0.033578,20.29,2.8176,-0.2933,2615.7205,0.0,0.0,0.99999297,0.0,7.04e-06,5795.441999999999,1.8463,1.4519,1.8755,1.0889,0.7866,-0.146,9.3559,9.9587,101.0248,2.6710000000000003,0.503,0.13677388,511.0,K      ,94,0.0856799999999999,0.02062,0
37003,35.71148483539,28.986304872140003,131012690260587904,0.0229,0.0208,0.7491,0.026,11.43,10.223,0.031,-5.111000000000001,0.0289999999999999,1.228,14.261168,0.002804,14.749408,0.00371,13.598527,0.003881,13.193295999999998,0.135452,63.2,4.089,-0.1459,1023.2744,0.0,0.0,0.99997115,0.0,2.881e-05,5202.217000000001,0.4268,0.3424,0.4365,0.2537,0.1828,3.8599,1.8292,2.256,3.3641224000000003,1.146,6.859,0.52015096,489.0,G      ,95,0.02831,0.03313,0
33932,39.99041847251,24.31412480757,114018810340440064,0.02,0.0187,0.1889,0.022,1.767,-0.6509999999999999,0.025,-1.642,0.023,0.995,14.505623000000002,0.00277,15.132037,0.004038,13.746068,0.003996,13.303572,0.100957,-52.36,2.7766,-0.4014,2996.0654,0.0,0.0,0.9999956,0.0,4.4e-06,4774.465999999999,0.5811,0.4491,0.5807,0.3424,0.2383,1.6542,6.3237,8.9937,39.372303,2.504,0.62,0.09839161,541.0,K      ,93,-0.01353,0.03782,1
63023,67.00306505469,20.64540827582,144450062383158528,0.0266,0.0151,2.1879,0.0308,11.957,2.656,0.037,-11.659,0.026,1.7480000000000002,13.518856,0.0027719999999999,14.024525,0.002913,12.818759,0.003828,12.521292,0.0298149999999999,-34.15,4.3046,-1.1161,418.1716,0.0,0.0,0.9999911,0.0,8.900000000000001e-06,6183.5835,1.229,1.0136,1.2891,0.7317,0.5574,4.3845,1.0137,1.0839,1.5414397,1.167,0.314,0.47455668,113.0,F      ,91,0.18319,0.01769,0
2455,301.39882636858,30.76504305718,2030612438239862912,0.0248,0.0329,0.0526,0.0379,5.662999999999999,-3.7,0.033,-4.287,0.042,0.999,16.231567000000002,0.0028179999999999,18.06592,0.010162,14.931809,0.004141,,,,3.6546,-0.8787,2407.4194,0.0,0.0,0.9999998,0.0,1.8e-07,15005.088,7.9931,6.024,8.0001,4.5918,3.4082,-1.6887,5.1958,5.2395,1253.8488,5.336,,0.54515076,276.0,O      ,95,-0.32493,0.09832,0
67047,320.46666035091,52.20034453374001,2172391507683866368,0.0087,0.0093,0.6502,0.0103,7.417999999999999,-3.617,0.012,-6.476,0.011,0.831,11.645083,0.002759,11.974314,0.002829,11.137934,0.003793,10.918842,0.010345,-20.26,3.4564,0.0172,1455.8302,0.0,0.0,0.9999918,0.0,8.25e-06,8572.423,1.5812,1.4117,1.7172,0.9556,0.7615,-0.5693,5.2036,5.2311,132.32974,2.924,0.376,0.3503873,337.0,A      ,2,0.4222,0.01023,0
