Unnamed: 0,RA_ICRS,DE_ICRS,Source,e_RA_ICRS,e_DE_ICRS,Plx,e_Plx,PM,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,GRVSmag,e_GRVSmag,RV,logg,[Fe/H],Dist,PQSO,PGal,Pstar,PWD,Pbin,Teff,A0,AG,ABP,ARP,E(BP-RP),GMAG,Rad,Rad-Flame,Lum-Flame,Mass-Flame,Age-Flame,z-Flame,Evol,SpType-ELS,Flags-HS,EWHa,e_EWHa,f_EWHa
12345,14.1892287868,38.49948894198,364785939116867072,0.4655,0.2364,26.7046,0.6467,154.97799999999998,151.02100000000002,0.47,34.8,0.309,4.024,3.843221,0.0033469999999999,3.903239,0.004117,3.681921,0.004082,3.644701,0.005406,7.27,3.5726,-1.5878,42.3729,0.0,0.0,1e-06,6.15e-06,0.99999285,7997.0845,0.0,0.0,0.0,0.0,0.0,0.6813,3.37,2.9421,31.898855,2.14,0.769,0.28907567,264.0,A      ,91,0.30155,0.0231199999999999,0
80728,244.93506863648,46.31353301826,1385978666451514112,0.1447,0.1668,10.1626,0.1825,40.731,-13.162,0.173,38.546,0.225,2.425,3.88713,0.0038799999999999,3.803087,0.005354,3.973888,0.005454,,,,3.8092,0.797,104.1355,0.0,0.0,0.99999976,2.3e-07,0.0,13200.248,0.0379,0.0376,0.0437,0.0235,0.0201,-1.2378,4.313,4.1469,471.15057,4.186,,0.65831786,263.0,B      ,91,0.13076,0.03283,0
34445,201.30730577291,54.98784533978001,1565090003967879424,0.1037,0.1334,40.4651,0.1374,117.144,113.37,0.127,-29.498,0.157,4.311,3.974355,0.003191,4.053378,0.004012,3.789806,0.004453,3.744147,0.004681,-6.92,4.0019,-0.8894,25.2161,0.0,0.0,1e-06,3.04e-06,0.99999595,7910.655,0.0001,0.0001,0.0001,0.0,0.0,1.9339,1.921,1.8652,12.245642,1.763,0.7929999999999999,0.44598997,196.0,A      ,91,0.29319,0.0244,0
18096,59.74126438868,35.791042068690004,219375904303684224,0.1926,0.1263,2.4457,0.2616,2.734,0.778,0.29,2.6210000000000004,0.212,2.236,3.974884,0.003378,3.970395,0.003421,3.889252,0.004335,,,,3.3229,0.0039,338.1781,0.0,0.0,3.77e-06,0.05658922,0.943407,21759.475,0.8094,0.7993,0.9361,0.5021,0.434,-4.527,13.0234,,,,,,,B      ,93,-0.0261899999999999,0.02561,0
81679,308.30326973863,11.30317925159,1755320049747788160,0.1581,0.1138,8.9149,0.1993,22.439,10.915,0.212,-19.606,0.161,1.886,4.015604,0.003364,3.948567,0.003538,4.087534,0.004435,,,,3.6109,-0.5768,118.0194,0.0,0.0,0.9999998,1.7e-07,0.0,12785.131,0.0054,0.0053,0.0062,0.0033,0.0028,-1.3165,4.9666,4.78,550.14026,4.279,,0.47847936,278.0,B      ,91,0.1377,0.02025,0
17031,47.90808720854999,19.72664828435,60248877811546112,0.1415,0.1023,19.7731,0.1592,153.97299999999998,153.871,0.262,-5.586,0.15,1.895,4.064342,0.00314,4.585422,0.004049,3.404474,0.00535,3.188664,0.005291,22.97,2.562,-0.273,49.2887,0.0,0.0,0.9999368,0.0,6.319e-05,4814.3438,0.0,0.0,0.0,0.0,0.0,0.5431,10.2607,10.2857,52.682194,2.7030000000000003,0.502,0.11111845,528.0,K      ,93,-0.07465,0.03528,1
29455,25.91533157511,50.68866947907001,405987526029851264,0.1411,0.1319,5.4048,0.1969,28.372,24.713,0.235,-13.938,0.1669999999999999,1.804,4.081212,0.006358,4.019928,0.0148069999999999,4.070969,0.010873,,,,3.8514,-0.9534,188.4083,0.0,0.0,4.993e-05,0.9999496,5e-07,24117.078,0.5376,0.5388,0.6269,0.3347,0.2922,-2.9166,5.9211,,,,,,,B      ,91,-0.95187,0.07332,0
90056,79.5442171546,33.370897989090004,181124307088367232,0.5159,0.3519,9.509,0.5651,160.965,28.505,0.713,-158.421,0.504,5.399,4.116194999999999,0.002982,4.799452,0.003283,3.320582,0.004944,3.043822,0.007876,-23.7,2.1169,0.0011,107.7685,0.0,0.0,0.99995404,0.0,4.596e-05,4750.155,0.6855,0.5252,0.6787,0.4039,0.2748,-1.554,27.8198,29.9154,258.2355,3.605,0.2319999999999999,0.03076334,599.0,K      ,92,-0.07075,0.02565,1
90020,355.1026126546,44.33384847092,1926476042681491712,0.1326,0.1074,19.4064,0.2104,82.226,79.998,0.156,-19.011,0.128,1.908,4.147998,0.0031309999999999,4.089887999999999,0.00323,4.168147,0.0045369999999999,,,,3.9801,-0.7942,56.9827,0.0,0.0,0.99998194,2.5e-07,1.7800000000000002e-05,11101.351,0.0001,0.0001,0.0001,0.0001,0.0001,0.3289999999999999,2.5944,2.3607,75.7876,2.801,,0.57635003,188.0,B      ,11,0.25628,0.02208,0
80729,242.19224169755,44.9350698604,1386158505321789696,0.4111,0.4383,13.5751,0.4979,44.76,-25.359,0.523,36.884,0.556,4.75,4.190117,0.003029,4.1925360000000005,0.0034939999999999,4.226816,0.0048439999999999,4.234669,0.005376,-15.46,3.5662,-1.0036,86.5283,0.0,0.0,0.9999767,8e-08,2.322e-05,9997.837,0.0021,0.002,0.0023,0.0013,0.0011,-0.4433,4.2739,3.3519,160.41971,3.215,0.2319999999999999,0.42757368,250.0,B      ,91,0.2028,0.03151,0
56220,73.51254990848001,66.34270799686999,482818271843093376,0.0722,0.078,0.5916,0.1333,7.2010000000000005,0.222,0.078,7.198,0.103,1.108,4.212864,0.0030269999999999,4.228461,0.003604,4.149068,0.005274,,,,1.8901,-0.9277,1039.4166,0.0,0.0,3.77e-06,0.05658922,0.943407,9997.991,0.1598,0.1531,0.1805,0.0982,0.0823,-6.051,61.3498,,,,,,,B      ,91,-0.17819,0.02485,0
34857,236.01507917363,77.79448391627,1707399209837352064,0.1415,0.1438,9.0827,0.1422,20.014,19.906,0.188,-2.072,0.174,2.447,4.2679730000000005,0.00327,4.289688,0.0035,4.191795,0.004898,4.16601,0.006623,-12.4,3.4184,0.1306,105.4186,0.0,0.0,0.999761,2e-08,0.00023902,9173.32,0.1685,0.1609,0.1892,0.1035,0.0857,-1.0216,5.816,6.1248,239.15941,3.414,0.251,0.3571460999999999,358.0,A      ,91,0.21579,0.03495,0
63153,281.1932967032,37.60520976092,2096875399817444736,0.1075,0.1181,20.6632,0.1296,32.179,25.347,0.145,19.824,0.158,2.25,4.316457,0.0032409999999999,4.392447,0.00294,4.126332,0.004835,4.074963,0.004696,9.8,3.6958,-0.1338,51.3528,0.0,0.0,0.99904966,1e-08,0.00095033,7748.159000000001,0.0002,0.0002,0.0002,0.0001,0.0001,0.7503,3.3613,3.1615,32.452366,2.14,0.8109999999999999,0.38680997,273.0,A      ,91,0.25066,0.02613,0
34935,263.05490751446,86.58669984134,1724851173788449536,0.0803,0.0798,17.8802,0.0922,54.975,10.025,0.113,54.053,0.102,0.8809999999999999,4.321091,0.002936,4.342093,0.00301,4.285826,0.0044,4.283154,0.005475,-8.92,3.7366,-0.6718,58.036,0.0,0.0,0.99960846,2e-08,0.00039153,8879.579,0.0001,0.0001,0.0001,0.0,0.0,0.5721,3.071,2.9956,50.262863,2.397,0.5379999999999999,0.39395526,257.0,A      ,91,0.34686,0.04075,0
386,70.5612622075,22.95682713679,146483849657244928,0.3812,0.1738,8.231,0.4049,17.322,3.181,0.579,-17.028,0.327,2.786,4.321626999999999,0.0037259999999999,4.177811,0.00323,4.34477,0.004621,,,,3.6352,0.4366,165.5174,0.0,0.0,0.9999997,3e-07,0.0,13968.528,0.0587,0.0583,0.0678,0.0365,0.0313,-1.9192,5.667999999999999,4.1054,576.05566,4.446000000000001,,0.5640309,257.0,B      ,91,0.22841,0.04862,0
27488,132.10812687511998,5.83768158291,582791194797052416,0.1398,0.0889,10.4431,0.1778,34.981,-18.871,0.2269999999999999,-29.454,0.217,1.863,4.339961,0.0030239999999999,4.317524,0.002967,4.326457,0.004721,4.329623000000001,0.004824,30.85,3.5752,0.2875,105.574,0.0,0.0,0.9998522,5e-08,0.00014775,9833.588,0.0541,0.0523,0.0612,0.0333,0.0278,-0.8512,4.9263,4.5144,171.8414,3.168,0.298,0.4358635,287.0,A      ,92,0.27875,0.02184,0
32681,94.90567921603,59.0110906288,1004671160675810816,0.3789,0.424,20.4686,0.8033,25.099,-4.644,0.519,24.666,0.444,7.409,4.436156,0.00298,4.435762,0.002913,4.388456,0.004765,4.383744999999999,0.004863,-1.55,3.6844,-0.5857,72.2968,0.0,0.0,0.9992572,3e-08,0.00074276,9098.855,0.0013,0.0013,0.0015,0.0008,0.0007,0.1183,3.5385,2.4079,35.844357,2.259,0.503,0.40009958,224.0,A      ,91,0.3777,0.02323,0
47912,348.13812894607,49.40663255426,1990723839987250176,0.0757,0.0769,40.294,0.113,131.332,89.939,0.114,95.704,0.107,0.975,4.438951,0.0028899999999999,4.606249,0.002878,4.171996,0.004181,4.077630999999999,0.004991,11.03,3.9947,-0.8012,24.9555,0.0,0.0,0.99306923,3e-08,0.00693071,7228.844,0.0002,0.0001,0.0002,0.0001,0.0001,2.4357,1.8092,1.8469,7.961052400000001,1.574,1.306,0.37307066,218.0,A      ,92,0.1455,0.0236,0
75170,355.68105806185,-14.5451998902,2419885149815948416,0.1351,0.103,20.8948,0.1589,118.761,98.578,0.15,-66.23100000000001,0.109,0.705,4.473714,0.003068,4.45178,0.0032119999999999,4.4977,0.0053409999999999,4.515166000000001,0.011574,-0.12,4.1467,-0.3326,48.09,0.0,0.0,0.99994767,1.2e-07,5.222e-05,10093.453,0.0001,0.0001,0.0001,0.0,0.0,1.0484,2.0335,2.0617,39.72829,2.402,0.253,0.6742889,173.0,A      ,93,0.31833,0.03215,0
28939,12.45365436059,41.0788278102,375010813139050368,0.1797,0.1167,5.7868,0.1857,28.65,21.711,0.174,-18.694000000000003,0.145,1.142,4.49091,0.003007,4.423494,0.003295,4.608077,0.004438,4.641106,0.005058,47.62,3.5891,0.7347,193.344,0.0,0.0,0.9999997,3e-07,0.0,13274.97,0.0008,0.0008,0.0009,0.0005,0.0004,-1.9285,5.8888,5.3741,808.9797,4.687,,0.54587823,285.0,B      ,11,0.10807,0.0277,0
96318,81.16308634194,37.38530042175,184433149893809024,0.0913,0.0622,6.3543,0.0892,10.967,-0.564,0.127,-10.953,0.088,0.903,4.515971,0.0029289999999999,5.266807,0.002949,3.684473,0.00526,3.3881300000000003,0.006802,-19.67,1.2619,-0.3441,168.3914,0.0,0.0,0.9999896,0.0,1.034e-05,4115.5923,0.0849,0.0625,0.0821,0.0494,0.0328,-1.7057,47.1547,41.6074,446.16193,1.964,1.261,0.01896902,1251.0,K      ,91,-0.05424,0.02853,1
3557,336.31934038804,1.37740985144,2702544403629124224,0.104,0.1032,2.9761,0.1129,17.705,17.518,0.159,2.563,0.135,0.952,4.525096,0.00504,4.519456,0.011712,4.457915,0.021472,,,,4.1160000000000005,-0.9672,337.2206,0.0,0.0,0.99999785,2.14e-06,0.0,37395.324,0.8792,0.883,1.0304,0.5475,0.4829,-4.0392,6.6373,,,,,,,O      ,93,-0.51982,0.18677,0
76301,350.15953538948,23.74034392901,2840673506807375360,0.1677,0.0834,20.7145,0.1138,36.356,36.27,0.239,-2.505,0.1119999999999999,0.7829999999999999,4.533373,0.002956,4.637066,0.003129,4.354369999999999,0.004181,4.2922970000000005,0.004647,11.48,3.7055,-0.505,50.1317,0.0,0.0,0.9965226,1e-08,0.00347741,7602.5913,0.0013,0.0011,0.0014,0.0008,0.0006,1.0394,3.0779,2.987,26.850828000000003,2.048,0.901,0.36596024,269.0,A      ,91,0.24378,0.02668,0
2961,314.95652722896,47.52095244138,2163949388695291136,0.2747,0.2894,1.4681,0.368,8.846,7.857,0.374,4.065,0.347,2.724,4.549879,0.003957,4.603998000000001,0.00467,4.498428,0.0132419999999999,,,,4.0511,-0.9948,452.3088,0.0,0.0,0.9999623,2.13e-06,3.561e-05,41342.062000000005,1.021,1.0201,1.1939,0.6351,0.5589,-4.7693,8.6314,,,,,,,O      ,999,-0.52455,0.06927,0
75044,357.23194377728,-28.13074342707,2328250059757795072,0.1378,0.1081,22.7296,0.1315,145.514,99.435,0.16,-106.24,0.141,1.251,4.554578,0.00312,4.560773999999999,0.003038,4.55145,0.005377,4.547349,0.007417,10.48,4.0665,-1.1943,45.6023,0.0,0.0,0.9995337,6e-08,0.00046624,9659.493,0.0002,0.0002,0.0002,0.0001,0.0001,1.2462,1.9729,1.9257,29.05925,2.233,0.273,0.5375034000000001,164.0,A      ,92,0.34268,0.03495,0
199,28.382917106740003,19.29342301216,93806419367308544,0.1336,0.1009,19.6268,0.1526,124.184,77.138,0.198,-97.321,0.131,0.916,4.562396,0.0033399999999999,4.552057,0.00331,4.580489,0.010502,,,,4.1991,0.6355,53.4828,0.0,0.0,0.9999442,1.1e-07,5.563e-05,9977.32,0.0001,0.0001,0.0001,0.0001,0.0,0.9267,2.1211,2.0673,38.135662,2.372,0.273,0.79806274,176.0,B      ,91,0.22129,0.0613,0
32904,137.73038701292,63.5133604349,1043382731705599360,0.2222,0.3351,27.6487,0.4948,126.074,104.904,0.293,-69.926,0.492,3.78,4.565455,0.002832,4.743432,0.002858,4.28728,0.0042369999999999,4.199407,0.005391,-7.34,3.824,-0.2918,35.8854,0.0,0.0,0.99948984,1e-08,0.00051011,7089.047,0.0001,0.0001,0.0001,0.0,0.0,1.7241,2.5606,2.5488,13.972804,1.758,1.3330000000000002,0.41401386,261.0,A      ,92,0.18584,0.01925,0
31159,7.943449071210001,54.52217954002,418090121095577216,0.2877,0.3256,7.4273,0.6104,42.364,40.488,0.435,-12.467,0.523,4.393,4.648081,0.003695,4.663245,0.002893,4.753901,0.005182,,,,3.4605,0.4411,190.0325,0.0,0.0,0.99999577,2.3e-07,3.96e-06,11216.642,0.0258,0.0253,0.0294,0.016,0.0135,-1.7239,6.3637,4.7027,315.37128,3.687,,0.44745103,284.0,B      ,91,0.11849,0.02298,0
34389,199.38485314248,40.57268849014,1524913024458144256,0.0571,0.0564,12.7783,0.1151,126.953,-125.614,0.066,18.386,0.061,1.808,4.652891,0.00286,4.791037,0.003,4.3863900000000005,0.003997,4.318087,0.004367,8.62,3.4078,-0.1779,75.8595,0.0,0.0,0.9993275,0.0,0.00067253,7344.1455,0.0957,0.0868,0.1047,0.0583,0.0464,0.1735,4.8964,5.0594,61.200480000000006,2.53,0.5579999999999999,0.24787495,365.0,A      ,92,0.20735,0.0138,0
82207,65.10252672205999,34.56669459662,175909804473075968,0.1405,0.0745,14.0327,0.1193,25.316,-24.314,0.235,-7.053,0.142,0.855,4.68065,0.002998,5.152829,0.003034,4.055818,0.005307,3.854319,0.020657,-26.76,2.6914,-0.1693,74.7837,0.0,0.0,0.99987084,0.0,0.00012916,5017.0757,0.0725,0.0579,0.0737,0.0431,0.0306,0.2715,10.4478,9.989,56.94527,2.801,0.455,0.11960509,505.0,K      ,94,-0.0279899999999999,0.03941,0
17331,50.68825067128,20.74200297961,61033001402831872,0.2637,0.1546,9.7639,0.2442,55.545,-53.633,0.326,-14.447,0.222,2.12,4.701843,0.003669,5.339689,0.002851,3.953335,0.004456,3.693674,0.006386,1.23,2.048,-0.1439,91.4858,0.0,0.0,0.9999533000000002,0.0,4.663e-05,4484.821,0.0797,0.0605,0.0784,0.0468,0.0315,-0.2559,18.1154,19.137,133.19696000000002,3.302,0.292,0.04445835,527.0,K      ,93,-0.0796,0.03098,1
89326,311.85228812221,36.49067518364,1870779903225039872,0.1849,0.1596,4.2653,0.2152,13.922,13.231,0.251,-4.331,0.181,1.52,4.712803,0.004425,4.485445,0.012261,4.613912,0.012218,,,,3.5139,0.7368,238.5469,0.0,0.0,0.99999964,3.5e-07,0.0,14511.893999999998,0.1969999999999999,0.1955,0.2275,0.1223,0.1052,-2.4504,6.946000000000001,6.6507,1772.6866,5.6,,0.5208020999999999,311.0,B      ,91,0.08317,0.1351,0
87599,303.81626848478,25.59193776936,1835335977682835200,0.1408,0.1598,5.6918,0.2319,8.929,7.086,0.172,-5.432,0.1969999999999999,2.073,4.766654,0.0043289999999999,4.653462,0.003128,4.887826,0.005372,,,,3.5338,0.7824,280.7071,0.0,0.0,0.9999993,7e-07,0.0,14821.178,0.0008,0.0008,0.0009,0.0005,0.0004,-2.4778,6.8657,4.3553,827.20325,4.883,,0.5556025,258.0,B      ,91,0.01798,0.03463,0
23615,65.38833252076,46.49872278243,257075615399416448,0.1051,0.0675,6.8802,0.1353,41.31,21.659,0.138,-35.177,0.092,0.845,4.782536,0.003303,4.771406,0.005235,4.787159,0.005592,,,,3.7286,0.647,157.1731,0.0,0.0,0.999383,1.6e-07,0.00061682,13400.337,0.3541,0.3474,0.4059,0.2192,0.1867,-1.5354,4.8777,4.6364,625.88275,4.452,,0.626361,273.0,B      ,91,0.09948,0.0355,0
30063,122.11395840541,51.506646114510005,935456044713157888,0.1791,0.1638,13.3269,0.3,59.035,-58.882,0.217,-4.246,0.231,2.215,4.791666,0.003144,4.801031,0.00294,4.741553,0.004242,4.718272,0.005138,12.15,3.6485,-0.7004,84.1285,0.0,0.0,0.99960846,1e-08,0.00039153,9124.771,0.0607,0.0579999999999999,0.0682,0.0373,0.0309,0.0992,3.5708,3.2131,63.68561999999999,2.532,0.473,0.3724754,262.0,A      ,91,0.27809,0.02549,0
80419,259.3315097592,33.10007734754,1334035606852913536,0.0881,0.1009999999999999,3.4356,0.1164,7.0760000000000005,-4.298,0.12,-5.621,0.128,1.421,4.815964,0.005398,4.699851,0.011618,4.944214,0.0129259999999999,,,,3.6533,0.7356,256.067,0.0,0.0,4.993e-05,0.9999496,5e-07,15571.395,0.0022,0.0022,0.0026,0.0014,0.0012,-2.285,6.0181,6.7949,2459.9937,6.193,,0.6291061,295.0,B      ,11,0.09661,0.07052,0
89907,339.81531786164,39.0502452024,1908095850396090880,0.072,0.0861,2.192,0.1314,5.747999999999999,-1.274,0.118,-5.605,0.12,1.207,4.825453,0.0029,4.713965,0.002921,5.016948999999999,0.004566,,,,3.6051,0.0013,538.0151,0.0,0.0,0.9999989,1.06e-06,0.0,24257.855,0.1458,0.1486,0.1716,0.0911,0.0805,-4.0177,9.3616,,,,,,,B      ,11,0.07796,0.02165,0
34210,263.04518678233995,55.18448601891,1420972823029057408,0.0859,0.1001,33.2097,0.0887,157.64700000000002,148.04,0.099,54.194,0.136,1.337,4.839051,0.003112,4.95608,0.002991,4.588821,0.004333,4.5074190000000005,0.005078,-16.41,4.0338,-0.8589,30.845,0.0,0.0,0.99306923,3e-08,0.00693071,7378.597,0.0003,0.0003,0.0003,0.0002,0.0001,2.3799,1.785,1.743,8.098867,1.598,1.034,0.44750658,197.0,A      ,92,0.20646,0.03768,0
34766,29.33791322641,17.817467201320003,91181575874485632,0.285,0.1969999999999999,7.4277,0.298,42.173,37.138000000000005,0.371,-19.983,0.276,4.138999999999999,4.843748000000001,0.002908,5.3221050000000005,0.0032159999999999,4.195646,0.0062439999999999,3.991099,0.005441,-5.02,2.3441,-0.4262,138.1325,0.0,0.0,0.9999242,0.0,7.58e-05,5016.861,0.1443,0.1154,0.1472,0.0857,0.0614,-0.9585,18.496,17.9733,184.61461,3.498,0.251,0.09505165,551.0,F      ,95,-0.07341,0.04975,0
79979,220.18155997269,16.41839583823,1234645287617291520,0.0873,0.1001,10.3357,0.1199,20.884,13.922,0.127,15.566,0.124,1.041,4.85487,0.002996,4.812378,0.0031609999999999,4.927662000000001,0.004663,4.942745,0.005224,2.31,3.8979,-0.7097,100.868,0.0,0.0,0.9999998,1.7e-07,0.0,11821.793,0.0005,0.0005,0.0006,0.0003,0.0003,-0.1803,3.0864,3.0121,158.87044,3.272,,0.5758324,229.0,B      ,91,0.20323,0.03105,0
28553,30.97825852213,42.33069921796,346231302441905920,0.8018,0.7185,12.0724,0.9554,50.56399999999999,16.645,0.93,-47.746,0.901,6.55,4.862768,0.011187,4.838847,0.003289,4.879751000000001,0.0043,,,,4.018,0.7782,73.8781,0.0,0.0,0.9999137,8e-08,8.62e-05,9610.656,0.0008,0.0008,0.0009,0.0005,0.0004,0.5325,2.6486,3.0389,70.91555,2.619,0.406,0.654269,251.0,B      ,94,0.31184,0.05896,0
238,64.31506301994,20.57833299896,49298394834276608,0.0848,0.0453,35.0804,0.0963,71.893,-40.375,0.132,-59.486,0.0819999999999999,1.015,4.864198,0.002822,4.994997,0.002881,4.644997,0.004868,4.573178,0.0046689999999999,13.23,4.2089,-0.2815,28.6899,0.0,0.0,0.99865586,1e-08,0.00134416,7460.598000000001,0.0,0.0,0.0,0.0,0.0,2.5934,1.5656,1.5749,6.922785,1.5659999999999998,0.726,0.59561354,164.0,A      ,91,0.236,0.02395,0
31025,12.20863075856,50.96812889649,415024618257029888,0.1124,0.1095,9.1537,0.2122,30.56,29.453000000000003,0.2,-8.152000000000001,0.145,2.062,4.867326,0.002884,4.82453,0.002877,4.938943,0.004038,,,,3.7296,-1.0519,92.3079,0.0,0.0,0.9999998,1.8e-07,0.0,9996.19,0.0016,0.0016,0.0018,0.001,0.0008,0.0436,3.3122,3.2279,204.2231,3.4610000000000003,,0.56177235,237.0,B      ,11,0.15492,0.02618,0
34464,195.18311488813,56.36635375953,1576850723937017216,0.0868,0.1092,39.4628,0.1199,140.082,140.082,0.106,-0.059,0.138,1.277,4.885962999999999,0.0028899999999999,5.016466,0.003112,4.498171,0.005702,4.390085,0.0310399999999999,-3.45,4.0633,-0.74,25.2531,0.0,0.0,0.9967878,9e-08,0.00321213,6694.75,0.0,0.0,0.0,0.0,0.0,2.8528,1.7353,1.7294,5.4118047,1.4240000000000002,1.932,0.46309948,239.0,A      ,95,0.14597,0.06535,0
75833,343.8073072944,8.81623656106,2713130535941345792,0.1152,0.0935,11.1664,0.1344,79.596,78.625,0.159,12.398,0.113,1.143,4.887580000000001,0.002978,4.890669,0.003012,4.859735,0.006076,4.859058999999999,0.00586,-10.37,3.7337,-0.7032,92.4773,0.0,0.0,0.99878365,5e-08,0.0012163,10005.865,0.1137,0.1097,0.1285,0.07,0.0585,-0.0716,3.4610000000000003,3.3853,103.247025,2.854,0.34,0.44077712,260.0,A      ,94,0.2453699999999999,0.03972,0
